Type,CiscoPID,Vendor,MFGPartNumber,SerialNumber
GLC-SX-MM,30-1301-04,CISCO-AVAGO,SFBR-5766PZ-CS2,AGM1711L87U
GLC-SX-MM,30-1301-04,CISCO-AVAGO,SFBR-5766PZ-CS2,AGM1711L87K
GLC-SX-MM,30-1301-02,CISCO-AVAGO,QFBR-5766LP,AGS1044045V
GLC-SX-MM,30-1301-04,CISCO-AVAGO,SFBR-5766PZ-CS2,AGM1711L87W
GLC-SX-MM,30-1301-02,CISCO-AGILENT,QFBR-5766LP,AGS09508C6P
GLC-SX-MM,30-1301-02,CISCO-FINISAR,FTLF8519P2BNL-CS,FNS0940H4RU
GLC-SX-MM,30-1301-01,CISCO-FINISAR,FTRJ-8519-7D-CSC,FNS0826A1HV
GLC-SX-MM,30-1301-01,CISCO-FINISAR,FTRJ-8519-7D-CSC,FNS0828K08N
GLC-LH-SM,30-1299-03,CISCO-AVAGO,SFCT-5798PZ-CS3,AGC1711V0YW
GLC-LH-SM,30-1299-01,CISCO-AGILENT,QFCT-5798LP,AGS1008A0TY
GLC-SX-MM,30-1301-02,CISCO-FINISAR,FTLF8519P2BCL-CS,FNS10500S0C
GLC-SX-MM,30-1301-02,CISCO-FINISAR,FTLF8519P2BNL-CS,FNS1002K0AC
GLC-SX-MMD,10-2626-01,CISCO,FTLF8518P4BNL-CS,FNS224107G6
GLC-SX-MMD,10-2626-03,CISCO-FINISAR,FTLF8518P4BNL-C2,FNS251519E3
GLC-LH-SM,30-1299-02,CISCO-FINISAR,FTLF1318P2BCL-C2,FNS13521HTV
GLC-LH-SM,30-1299-02,CISCO-AVAGO,SFCT-5798PZ-CS2,AGC1341U47H
GLC-LH-SM,30-1299-03,CISCO-AVAGO,SFCT-5798PZ-CS3,AGC1702V2YK
GLC-LH-SM,30-1299-01,CISCO-AVAGO,QFCT-5798LP,AGT1046U0UG
GLC-LH-SM,30-1299-01,CISCO-JDSU,JSMR12L004B02,JUT11045021
GLC-LH-SM,30-1299-01,CISCO-AGILENT,QFCT-5798LP,AGS1008A0TZ
GLC-LH-SM,30-1299-01,CISCO-FINISAR,FTRJ1319P1BTL-C7,FNS1004G2W9
GLC-LH-SM,30-1299-03,CISCO-FINISAR,FTLF1318P2BCL-C3,FNS17411XTL
GLC-LH-SM,30-1299-01,CISCO-FINISAR,FTLF1318P2BCL-CS,FNS1140043M
GLC-LH-SM,30-1299-02,CISCO-AVAGO,SFCT-5798PZ-CS2,AGC1341U47K
GLC-SX-MM-RGD,10-2274-01,CISCO-FINISAR,FTLF8519P2BTL-CS,FNS1028L07P
GLC-SX-MM-RGD,10-2274-01,CISCO-FINISAR,FTLF8519P2BTL-CS,FNS1028L07V
GLC-LH-SM,10-1299-03/01,CISCO-AVAGO,SFCT-5798PZ-CS3,AGC1702V2YK
GLC-LH-SM,10-1299-03/01,CISCO-AVAGO,QFCT-5798LP,AGT1046U0UG
SFP-GE-L,10-2144-01,CISCO-SUMITOMO,SCP6G44-C1-BMH,SPC131800EY
SFP-GE-L,10-2144-01,CISCO-SUMITOMO,SCP6G44-C1-BMH,SPC132800ZZ
GLC-ZX-SMD,10-2621-01,CISCO,SCP6J94-C5-BMH,SPC171202TS
GLC-ZX-SMD,10-2621-01,CISCO,SCP6J94-C5-BMH,SPC171202TP
SFP-GE-S,10-2143-01,CISCO-FINISAR,FTRJ8519P1BNL-C6,FNS11370XHM
SFP-GE-S,10-2143-01,CISCO-FINISAR,FTRJ8519P1BNL-C6,FNS11370XH2
SFP-GE-Z,10-2031-01,CISCO-SUMITOMO,SCP6G94-C7-BME,SPC14270140
SFP-GE-Z,10-2031-01,CISCO-SUMITOMO,SCP6G94-C7-BME,SPC14270141
GLC-EX-SMD,10-2624-01,CISCO,SCP6J54-C5-BMH,SPC1712058X
GLC-EX-SMD,10-2624-01,CISCO,SCP6J54-C5-BMH,SPC17120591
CWDM-SFP-1550,xxxx,CISCO-FINISAR,FWDM-16217D55CSC,FNS10411HJJ
CWDM-SFP-1550,xxxx,CISCO-FINISAR,FWDM-16217D55CSC,FNS11030AAP
CWDM-SFP-1570,xxxx,CISCO-FINISAR,FWDM-16217D57CSC,FNS0920F21V
CWDM-SFP-1570,xxxx,CISCO-FINISAR,FWDM-16217D57CSC,FNS10400PKG
CWDM-SFP-1530,xxxx,CISCO-FINISAR,FWDM-16217D53CSC,FNS10410XZ0
CWDM-SFP-1530,xxxx,CISCO-FINISAR,FWDM-16217D53CSC,FNS1015J0AV
GLC-BX-U,10-2094-02,CISCO-SUMITOMO,SBP6H44-C7-BN-31,ECL151001V9
GLC-BX-D,10-2093-02,CISCO-SUMITOMO,SBP6H44-C7-BN-49,ECL144502TK
GLC-BX40-U-I,10-2942-01,CISCO-OPLINK,TRBCG1HEEICISE1G,OPM18240195
GLC-BX40-D-I,10-2910-01,CISCO-OPLINK,TRBUG1HDEICISE1G,OPM22290J5G
GLC-T,30-1410-02,CISCO-AVAGO,ABCU-5710RZ-CS2,AGM1112218X
GLC-T,30-1410-02,CISCO-AVAGO,ABCU-5710RZ-CS4,AGM143622QZ
GLC-BX80-D-I,10-2939-01,CISCO-OPLINK,TRBUG1HMZICISE1G,OPM22340P3N
GLC-BX80-U-I,10-2941-01,CISCO-OES,RBT12SZX-IT4-CS3,OEA22360005
GLC-SX-MM,10-1837-01,CISCO-FINISAR,FTRJ1519P1BCL-CS,FNS10420G3N
GLC-SX-MM,10-1837-01,CISCO-FINISAR,FTRJ1519P1BCL-CS,FNS110503CB
GLC-ZX-SM,10-1837-01,CISCO-FINISAR,FTRJ1519P1BCL-CS,FNS10420EK8
